-6.10E-03,-5.10E+00,-3.13E+01,-1.86E+02,-2.50E+01,-4.05E+01,
-9.94E+01,-1.23E+01,-6.30E+01,-5.99E-04,-7.43E+00,-1.59E+02,
-1.25E+02,-5.79E-04,-1.40E+01,-1.62E+02,-7.46E+00,-9.48E+01,
-9.13E+01,-3.15E+01,-6.46E+00,-7.90E-01,-1.50E+01,-6.08E-01,
-2.32E-01,-2.56E+01,-6.43E+01,-1.58E+02,-2.71E+00,-1.97E+00,
-8.02E+01,-3.40E+01,-3.03E+01,-4.00E+01,-8.43E-06,-1.17E+01,
,,,,,,
,0,1,2,3,4,5
0,0.993914111,0.006085889,2.65E-14,1.69E-81,1.39E-11,2.67E-18
1,6.99E-44,4.53E-06,4.43E-28,0.999401201,0.000594273,6.13E-70
2,4.10E-55,0.999421262,8.57E-07,3.27E-71,0.000577881,7.03E-42
3,2.24E-40,2.18E-14,0.00156033,0.453896122,3.17E-07,0.544543231
4,0.793298471,7.81E-12,1.21E-28,3.93E-69,0.066578134,0.140123395
5,1.41E-35,1.78E-15,7.25E-14,4.36E-18,0.999991568,8.43E-06
