-1.14E-10,-2.20E+02,-1.62E+02,-1.58E+02,-2.29E+01,-1.53E+02,
-1.16E+02,-2.38E-03,-7.21E+00,-1.83E+02,-6.42E+00,-1.46E+02,
-2.77E+02,-1.70E+02,-1.64E+02,1.18E-14,-4.95E+02,-1.41E+02,
-2.32E+02,-1.37E+02,-2.46E+00,-8.97E-02,-2.31E+02,-7.25E+01,
-1.29E+01,-7.84E+01,-1.38E+02,-1.08E+02,-2.59E-06,-9.55E+01,
-5.45E+01,-5.72E+01,-8.17E+00,-1.32E+01,-1.62E+02,-2.83E-04,
,,,,,,
,0,1,2,3,4,5
0,1,3.08E-96,3.19E-71,2.25E-69,1.14E-10,4.00E-67
1,6.54E-51,0.997627714,0.000736678,3.81E-80,0.001635609,4.17E-64
2,3.51E-121,9.17E-75,6.51E-72,1,1.08E-215,5.46E-62
3,2.63E-101,3.92E-60,0.085797199,0.914202801,4.45E-101,3.31E-32
4,2.59E-06,8.59E-35,1.48E-60,1.36E-47,0.999997407,3.24E-42
5,2.24E-24,1.38E-25,0.000281664,1.77E-06,4.67E-71,0.999716564
