,Xylf,D-Alt,L-6dGul,GlcA,Glc,ManNAc,Man,D-Fuc,Gal3S,AllNAc,Kdn,L-6dTal,GlcNAc,GalNAc,Gal,Neu5Ac9Ac,Neu5Gc,Xyl,GalNAc3/4S,GalNAc3S,Neu5Ac,Fuc,Gul,GlcNAc6S,ManNAc6S
0,-5.198182448785137162630,-7.821776869075396686418,-6.443039835783852763685,-4.988752126572867483001,-4.421589346177994822713,-4.215130326030390334951,-1.460567435550699625029,-3.833409626211392467965,-5.798742194234326802567,-6.713490949375143374696,-6.010316478214960068193,-5.954451192655775784618,-1.358585541813953020825,-4.617023762236383102047,-1.227251906554883476639,-6.815460346271926565695,-3.952747752059087811951,-7.288053995370916117590,-6.013574560045447252948,-7.166538093568896980645,-3.061339590354275521327,-2.754135919794445570335,-7.580328427347103610478,-7.726540811393359438447,-8.494242783009011812318
1,-6.353485785444757231520,-12.320507603475649561536,-6.534638679500012458275,-5.338998751306804291991,-5.958727037558102947303,-6.747303731691040242941,-1.708885739276313558490,-5.072297692201371964555,-6.401381150068562341157,-6.337578117512353105076,-4.737349851161373738583,-8.904343649756813050052,-0.742343893845487803455,-7.058448293788305793437,-2.156642467651828298729,-6.510093566105777630285,-4.755389777589498800041,-5.823321580941627865780,-6.822003431876541391538,-6.563849828236895846235,-2.409228379813500409117,-2.409558029533831681925,-9.537477112165430453068,-7.823239259641917816447,-8.292231232564811368732
2,-8.185659750258550754230,-9.389586021936909781616,-7.334517964989107680285,-5.620870185182624305001,-7.312234951345024425313,-6.048034611666747613751,-3.453756673727811409600,-4.587932125263396637565,-5.470681203368253960167,-7.136298680991255089486,-5.217535439897667791593,-6.494203131488595902132,-0.791913600098974610865,-5.047606397287761644447,-0.966774589938318911739,-7.105947102178454157295,-4.687953509488570694051,-7.981950662949602864190,-6.112652780748509113548,-7.060279296197096573245,-3.496513996108354292127,-2.931813095543171495935,-9.101013500720550083078,-7.904827863881763426057,-6.598238851134454968412
3,-5.573779640470685781280,-6.309584758949579891196,-6.453927785834345143335,-5.377521115771234764051,-4.410838868594994821363,-4.934666247688551996901,-0.943757910224820089550,-3.932726066062097509615,-5.419810236297786556217,-6.339511565984447863136,-4.865104537288201218643,-6.961331251001810661712,-0.933853650110594054915,-8.593811645059711156497,-4.266292411111337896389,-6.711771275760021764345,-5.774693329949506604101,-6.289238244970931551240,-6.518634964241811455598,-7.831321430192640424295,-3.413714463869549014177,-2.378269991816692486985,-6.836895366153405012128,-6.196427259842382060507,-6.722579600193986356392
4,-6.246281030302767784500,-6.165611398224109176416,-8.495997471182526624755,-9.938762519790403763771,-5.533696603525654193583,-4.621911195638608253621,-0.318810643200395830770,-4.792812012812533657035,-5.806167453995418732437,-6.493034414954858679356,-4.669062935918868792863,-6.582168925072214068932,-3.121433598483750670235,-5.513988948915857361217,-2.757960812939055834009,-6.687168460204990503565,-3.662642012557667193321,-7.269177513921974650460,-6.495980758162831520818,-7.137605306045500513515,-2.562265721565960353397,-4.533775909165380016405,-6.810901474591679736348,-7.081677223749634413727,-9.658187041973814722612
5,-8.371277326967866648600,-7.378769309609515833316,-7.968066346998671211655,-5.478916345471932447371,-5.585222271772578666683,-4.761549132387601428721,-0.967581470046965274870,-5.035788122789523694935,-7.069172359395244026537,-6.981403407455425318456,-6.266581537853676965963,-6.675735304081078421832,-1.654709893259810486635,-5.370492254500565162817,-1.247585809772492377209,-8.271416449147485140165,-5.865359709862646637421,-7.002352609945830073560,-6.484155199516966273918,-8.048787725710407214615,-3.501567636556272279497,-2.658550355975401345305,-7.900747891758615870448,-7.392766898678174994827,-7.075079369190389776512
6,-6.955302637821457913050,-6.350474192824020465766,-6.894499064287938174105,-6.694314329910966792821,-4.511008737369392976133,-4.410843209533627464171,-1.639346429587255040320,-6.068614459786912773385,-6.809102798837226159987,-5.455874412012017607906,-5.038770142331901078413,-8.777817552068905767282,-0.586293501259088206785,-6.114028829820386577267,-2.400618126114577045559,-6.927355169369595864115,-3.555749698377336911871,-5.474103961905763284010,-5.695906532127743089368,-6.993337973843254598065,-4.843404705614403631947,-2.754633191116842079755,-7.853270980532723515898,-6.023416186686682366277,-6.270534119410485620962
7,-5.284676603647716515312,-7.582427746603229176528,-6.595151189275854165267,-5.366300557402429425083,-4.389091837230420815395,-4.754409850876013162433,-0.605291900601743985582,-4.138620821014546320147,-5.445327921968047321249,-6.273968913801656821368,-5.768747098814243191675,-9.434235853261036848744,-1.305014748941956936347,-5.358326822536286089129,-2.793345806949052721321,-7.413208059399831171377,-4.310825595699931439133,-6.394232730115093731772,-6.267790020090851016630,-7.195577628159037968327,-4.450523572044020308209,-3.596083694902441526817,-7.157721318945801871160,-10.758396202842366595539,-7.190981190859555403024
8,-9.177502544474136163080,-6.756701146148950304176,-9.858685672779977447715,-7.315115307561810421431,-5.137342942574605062773,-4.698703902510272269581,-0.888277580572798915230,-7.010379420219886888995,-7.574908500927714746897,-6.186070897433890284486,-5.818583331372979809223,-7.569212891256591422692,-0.802712052207970943695,-5.435054078120424551977,-2.363477967386785133069,-8.653415484905269210825,-5.606731408041644620581,-6.312468035203905373710,-6.826187583115250963778,-8.061322518109522241575,-6.575870342891195674357,-4.932593981984141855365,-7.089013387572559444108,-7.237981272626680583287,-6.981367841814664956372
9,-9.718189818385281414400,-7.635604277245900648216,-7.077335603906313957155,-5.381593842511606542171,-4.779421064882832968483,-5.263647289841867852721,-2.636020952050965220870,-5.454970712823127874435,-5.191593903876038502337,-7.878467295171183639356,-3.700965171251162524763,-7.282640518575740797132,-1.183863649146793923085,-4.073107059057175356217,-1.168739709172146962209,-6.708285342000981666465,-3.995825363698756954221,-6.985282917746269954360,-6.866695756949914411718,-6.074767016320394088415,-1.869725478084431836297,-2.895675936697131632805,-5.498660796789425549248,-6.869026889944842518927,-7.048288682973771150712
