,ManNAc(b1-2),Gal3S(b1-4),ManNAc(b1-3),GlcNAc(b1-2),GlcNAc(b1-3),Kdn(a2-6),Gal(b1-3/4),D-Fuc(a1-3),Man(a1-3),Neu5Ac(a2-3/6),Neu5Ac9Ac(a2-6),Man(a1-6),Gal(b1-4),Gal(a1-3),D-Alt(a1-3),GlcNAc(a1-2),GalNAc3S(b1-4),GlcNAc(b1-4),Fuc(b1-6),ManNAc6S(b1-2),Man(b1-3/4),Glc(a1-3),Fuc(a1-3),AllNAc(b1-6),Neu5Gc(a2-6),GalNAc3/4S(b1-4),L-6dGul(a1-6),Neu5Gc(a2-3),D-Fuc(a1-6),GlcA(b1-3),GalNAc(b1-2),Fuc(a1-6),Gul(b1-4),Xyl(b1-2),Xylf(b1-2),Glc(a1-2),Man(a1-3/6),L-6dTal(a1-3),Kdn(a2-3),Neu5Ac(a2-6),GlcNAc6S(b1-2),Man(b1-4),Man(a1-2),D-Fuc(b1-6),GlcNAc(b1-6),Neu5Ac(a2-3),Gal(b1-3),GalNAc(b1-4),GlcNAc,Fuc(a1-2),GlcNAc(b1-3/4)
0,-4.614880005811566,-5.582258523716877,-8.322774720007178,-2.1967765170825633,-4.795100771751474,-5.597721053311291,-7.527804154746892,-7.615544655463722,-4.412884078293291,-5.723813738790926,-10.229789326031725,-2.1166911867545335,-1.5375952527663599,-5.717635296939451,-6.932136313053771,-5.468253268438686,-9.892698308071441,-1.6244099419486848,-7.328639543209285,-7.212192761408797,-7.660840220040619,-5.41104581315173,-4.38419360096322,-7.516616599012565,-6.097349829812384,-5.9172295101758685,-7.317749568895099,-5.71375405664907,-4.948311712347296,-5.774855603816177,-6.687532540933542,-3.0533020703608074,-6.74081284215038,-6.237944689075645,-7.068582867711083,-8.019942020472694,-4.410963290319436,-6.80735439171232,-6.4643430610452,-5.667039471073014,-7.461209092654631,-2.5182767363161527,-4.36644322100434,-6.176797044538974,-4.083766684496307,-3.5284794280436707,-4.504309841224505,-5.735662283820969,-3.296979092440406,-6.089730886898452,-7.738403809748945
1,-6.000926725939319,-6.159503688715195,-8.48658862583616,-2.312594401829787,-4.870955369078055,-5.040044383306785,-6.067758033608922,-6.259256299113127,-3.724380345426285,-5.724967582982017,-6.261271144096452,-2.4385332540339792,-1.7599319232593005,-4.892105657990718,-9.282192843573409,-7.203642458293448,-7.9074029574775055,-1.8284336039300588,-7.293457739714847,-7.84770070758798,-6.231157606061381,-5.116935275393072,-4.351374550774507,-5.617538379947014,-7.297333544103751,-8.218996573046663,-7.598991613447926,-5.21715416690666,-6.192209894238813,-6.898606777507865,-6.373008514223476,-4.168353986274142,-6.749383577196885,-6.072369037069937,-6.283847828864809,-5.8414005989517195,-5.950463529916755,-7.923358826880592,-4.753495805382795,-3.6399842640577003,-6.752765276252863,-1.864705090902564,-3.371589711109273,-5.208324658054516,-2.8600968800155773,-3.2792305471018377,-4.844774971285447,-5.355771110924528,-4.271392764324523,-6.079549883169364,-6.586634873020906
2,-3.490808771010963,-5.290497228615883,-6.314822085021574,-1.5747533747303644,-6.222896410690317,-5.445636092503809,-5.038248904135357,-7.1818432979548446,-1.5313693912237532,-5.588404439716369,-7.457038080209812,-2.6966908996978898,-3.5873639921085436,-3.7852794190808616,-6.166265982469979,-6.2436952802567705,-7.052018913098997,-3.8778642031622224,-8.443694535560933,-5.814107979420725,-6.37803987810993,-5.477689055733116,-4.805194448407669,-6.219673460226533,-4.669123697733315,-6.3532744208020295,-9.69383602945934,-6.21001268254461,-7.166911505389551,-4.834788888138721,-6.753956519202254,-3.7257922246427486,-8.277662403477606,-6.403779867966783,-5.370760253495314,-5.6234652916643935,-4.221357584546471,-8.093298465942055,-4.726651763452921,-4.59535748574453,-6.060256855350935,-3.2711055118697914,-3.0154875037876607,-6.018621270372202,-3.7669667630170323,-3.764711294347725,-4.004815909628104,-6.390323652859307,-2.2656536300134773,-5.323382656639098,-6.929324686515492
3,-6.396084309748287,-5.75345762750278,-7.1743272966765765,-1.922019727988419,-5.4186824759531085,-6.734033307054917,-7.211514978531287,-6.752287237828291,-1.8549081503740052,-5.334273064840292,-7.087207819274926,-2.577604698732459,-1.5713375702417665,-4.306047062636443,-8.835497986020744,-6.685250469097973,-6.647964311616494,-2.067654925455068,-7.656526852924593,-8.249813253413361,-7.326405368791082,-5.497590987174811,-6.170275432841978,-6.214223627306074,-5.6948973054091,-6.060977689575829,-8.12412596631987,-3.840544389416612,-4.7464383308742395,-6.338115694975414,-6.875006122066683,-3.5329791822086056,-7.292423929531321,-9.02153180297211,-8.802092441328584,-5.817296662886356,-5.469769064472347,-7.037740193813956,-6.885603892246925,-3.8183073503997953,-7.446860697580664,-2.4728373960011245,-5.560594509948072,-6.202992630536297,-6.350235757713314,-3.3051626320512186,-4.871840616336609,-7.581172891317561,-7.177242922610694,-5.530838345532723,-8.798239044653478
4,-5.237438576147756,-6.498104900439787,-7.068552535202161,-1.7085894117990126,-4.580998468144485,-6.098730062338102,-6.525876093382048,-8.301085285135986,-2.586234380376042,-5.187818552342142,-8.07654825796202,-3.1003014247415854,-2.8793897448130434,-4.700829789001721,-13.644561757464775,-7.825302782076411,-7.393492682841919,-2.756693791048664,-6.773768991353427,-6.232695447053767,-7.346829346104488,-5.451805260428294,-4.869247442708738,-8.443834022657857,-5.737098719055527,-7.013296081740921,-7.062879764143342,-5.660693190089651,-5.8896696226768706,-5.311858843532745,-7.45031196852869,-3.95328874656711,-7.0741268302953655,-7.541132812429947,-8.113912862095132,-6.220841258363528,-4.648422113466376,-6.637754841667255,-8.039214777634676,-4.5382972896192655,-11.21991977299992,-3.6137297099716505,-3.48489225872983,-8.142476164605501,-4.274616122381986,-3.0766361952119192,-4.343063643162181,-5.582576710948279,-1.1314520812927626,-5.194906476744139,-7.196675065679922
5,-4.656445155091141,-7.367387244184938,-7.49067941430553,-5.075718130349926,-4.883801233902217,-5.817020335984491,-6.589984757041995,-7.3030534102610805,-2.682162414940105,-5.307375846483325,-8.911121397020777,-1.6032979474866922,-1.5433189594300178,-4.551109494143546,-7.954331871899958,-6.729385240727506,-6.6089804061142825,-2.717634854347751,-9.7078508975713,-7.224017119345239,-7.285588825676717,-5.20305631545062,-4.634685811110727,-7.1839594075724795,-6.291545747991281,-7.192267839002559,-7.1030077529355165,-4.561802571383038,-4.983078996304061,-5.724730350258358,-8.63851255544675,-3.615276847309328,-7.145554044471615,-6.270044252443347,-6.183788085785111,-7.743797769561982,-4.235904530972918,-8.42641430640811,-6.014722094834444,-6.2063386812896235,-9.550114034070281,-2.7223260712205164,-3.636955650938262,-6.200974968499041,-4.213931158271621,-3.4877365086071013,-6.7968578767627905,-5.303942277306407,-1.83065242951032,-5.707758773583933,-7.569295554512427
6,-4.905685717397861,-5.467325084806212,-7.317767787053824,-2.197001350533053,-4.292008138521878,-7.003852061612531,-6.494106102432155,-7.849646889720822,-4.205636095762344,-10.810312884848084,-7.38244493006195,-2.803876639951493,-1.837771322507419,-4.2291164577177955,-7.105363870879493,-5.376644975745354,-6.292704297829679,-2.360615123407722,-5.7987676120759515,-7.621466543820744,-6.547070532055783,-5.882625820802071,-3.5541998985182612,-5.986868854912271,-6.460922820924987,-5.966964841483217,-5.668692445837006,-6.281116203699308,-4.795689595914582,-5.02872863558347,-9.535344572443826,-2.480891266774206,-7.209513226873638,-5.872560121327876,-6.10944451748916,-5.269847868508602,-5.120864708700937,-7.242785590651137,-7.479875377526187,-3.8451808273346866,-7.1471908036386145,-1.803347794461426,-2.8025878096785557,-6.44978100445567,-6.427261264777375,-4.836097467021071,-5.59003567045477,-4.858594269522834,-2.7272772872303914,-4.992593382723959,-6.77205230073639
7,-9.128234076290882,-6.464777238244303,-6.592065349845648,-1.8227412693705443,-4.645778654848188,-6.638815638847517,-5.960144212781345,-7.970153980501469,-2.257570010758611,-6.707290604448244,-7.292203140746225,-2.4890918632496524,-2.3269634617066797,-7.788431335040583,-7.204590385815984,-6.698718418154817,-7.07726465283826,-2.1179713301011054,-7.40837090811294,-7.838017235628542,-7.697698378871679,-5.388956878046885,-4.901615151364115,-7.767773480906117,-4.995368295286017,-10.17946492740132,-7.32774299868406,-4.858980952016624,-5.899951852752094,-5.117791483046404,-7.4189759209057735,-4.057514428820881,-7.505033803224422,-5.716452549513826,-5.928761093844791,-6.4393636680305075,-6.169575668399776,-7.362395250952766,-5.565912026062199,-4.886893174977573,-7.143208037849072,-3.2874343554851055,-3.959215478883224,-6.654228128891035,-3.883518370102438,-3.3547249611171965,-4.478379723622723,-5.6556911759981325,-1.6283475201268298,-4.861486785622861,-8.595476533865408
8,-4.273242415038542,-5.7695441030081,-6.933066545707687,-2.074461553782986,-5.5759443480560495,-5.572516541045425,-6.35763088234725,-6.746019895351099,-2.0732171471490983,-5.800218130691543,-8.84903108083177,-2.4895976619149827,-3.3789373665033375,-4.481880314409277,-6.007679037651306,-7.347925439683495,-10.303914403882038,-1.502105114021111,-7.080263554948724,-6.510240065374104,-9.383827328075794,-7.0765245332476585,-4.331541521253506,-6.127168766417707,-5.258470916325421,-5.895929318599121,-7.220162830157845,-4.296403758413758,-4.970588450387981,-5.981497338246247,-7.4680677470488686,-2.7411302673607363,-7.299062020867813,-7.743727921172762,-6.135787475903824,-6.079321137765937,-3.597882336429465,-6.3292843168224575,-9.266826691296716,-4.004404572015971,-7.52335366393646,-2.221887209560078,-3.884631703368104,-5.9741727845927715,-3.509644536143119,-5.428834363230419,-4.510416100480417,-5.739834527904122,-4.977965657535591,-5.093862301322859,-7.258253493480245
9,-6.38333902242903,-7.149310852417774,-6.407703681036009,-3.226698335124144,-4.166328506079593,-4.971208633284718,-8.262248377500416,-7.332517798828307,-1.6934681933918556,-5.434125936574038,-6.03541629913087,-1.8434869793782975,-1.6949396757212996,-5.308409479175799,-6.302565964768623,-4.722241105623992,-6.952926494093586,-2.302488693607319,-7.4949541624849525,-7.233716451483876,-8.629626765371501,-5.395488010016599,-4.870747801653657,-6.476868977707996,-5.766305042152482,-5.810115179551791,-8.334469227451788,-4.802278090814189,-6.1891711026712315,-9.03053094353571,-6.980858864051382,-3.282921110594014,-6.701046092986741,-6.387320278489357,-6.5297433072153135,-5.602017854214093,-4.583667872686914,-6.6625556775898405,-5.018758986077351,-5.886439919716738,-6.278429843615901,-4.244488253352982,-3.345259892121982,-5.481150438995939,-3.6113733463426416,-3.871494248969391,-4.300092076641445,-4.7536159663839355,-2.8867718098821413,-7.327355369627212,-6.095250553012051
